_;;;;;;;;;
Axis;Energy;Elements=;191;;;;;;
Axis;Position;Elements=;1;;;;;;
Axis;X;Elements=;1;;;;;;
Axis;Y;Elements=;1;;;;;;
;;;;;;;;;
C:\Mac\Home\Documents\Avantage\GonSi111-anneal in UHV\Data Grid.DATA\C1s Scan.VGD;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Position (Pos)\;Pt #003;;;;;;;
;X (X)\µm;46616.6;;;;;;;
;Y (Y)\µm;27642.1;;;;;;;
Binding Energy (E);;;;Fitted envelope;Fitted Peak C sp2;Fitted Peak CO;Fitted Peak C sp3;Fitted Peak SiC;Backgnd.
eV;;Counts / s;;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s
283.780;;3801.24;;3765.57;3140.31;2346.25;2245.74;2604.22;2190.32
283.680;;3437.50;;3382.26;2652.30;2326.43;2230.60;2732.42;2186.50
283.580;;3219.63;;3204.18;2388.22;2308.96;2219.73;2838.26;2183.66
283.480;;3077.86;;3107.40;2261.84;2293.40;2211.51;2884.81;2181.39
283.380;;2959.97;;3007.17;2207.80;2279.50;2204.96;2853.29;2179.46
283.280;;2932.94;;2875.02;2186.77;2267.15;2199.53;2755.05;2177.83
283.180;;2704.73;;2724.70;2178.99;2256.24;2194.90;2623.96;2176.46
283.080;;2560.52;;2583.56;2175.97;2246.66;2190.83;2496.10;2175.33
282.980;;2499.44;;2470.42;2174.58;2238.30;2187.23;2393.62;2174.44
282.880;;2376.62;;2389.37;2173.80;2231.07;2184.06;2321.75;2173.77
282.780;;2372.81;;2334.76;2173.27;2224.81;2181.27;2275.21;2173.27
282.680;;2288.11;;2298.44;2172.89;2219.40;2178.86;2245.96;2172.89
282.580;;2257.32;;2273.70;2172.60;2214.70;2176.86;2227.33;2172.60
282.480;;2277.73;;2256.09;2172.33;2210.58;2175.22;2214.95;2172.33
282.380;;2325.30;;2243.06;2172.10;2206.98;2173.96;2206.33;2172.10
282.280;;2273.23;;2233.12;2171.91;2203.83;2173.04;2200.08;2171.91
282.180;;2187.60;;2225.34;2171.75;2201.08;2172.39;2195.37;2171.75
282.080;;2191.87;;2219.13;2171.64;2198.68;2171.98;2191.75;2171.64
281.980;;2164.59;;2214.10;2171.56;2196.58;2171.73;2188.91;2171.56
281.880;;2234.43;;2209.94;2171.49;2194.73;2171.57;2186.62;2171.49
281.780;;2240.50;;2206.45;2171.45;2193.10;2171.48;2184.76;2171.45
281.680;;2124.59;;2203.46;2171.41;2191.63;2171.42;2183.22;2171.41
281.580;;2201.83;;2200.86;2171.35;2190.31;2171.36;2181.90;2171.35
281.480;;2187.66;;2198.61;2171.32;2189.13;2171.32;2180.80;2171.32
281.380;;2178.27;;2196.64;2171.32;2188.09;2171.32;2179.87;2171.32
281.280;;2180.92;;2194.82;2171.28;2187.11;2171.28;2178.99;2171.28
281.180;;2131.19;;2153.05;0.00000;0.00000;0.00000;0.00000;0.00000
281.080;;2178.35;;2198.51;0.00000;0.00000;0.00000;0.00000;0.00000
280.980;;2169.38;;2187.78;0.00000;0.00000;0.00000;0.00000;0.00000
280.880;;2187.16;;2203.70;0.00000;0.00000;0.00000;0.00000;0.00000
280.780;;2100.84;;2115.57;0.00000;0.00000;0.00000;0.00000;0.00000
280.680;;2097.17;;2110.30;0.00000;0.00000;0.00000;0.00000;0.00000
280.580;;2142.78;;2154.63;0.00000;0.00000;0.00000;0.00000;0.00000
280.480;;2153.73;;2164.66;0.00000;0.00000;0.00000;0.00000;0.00000
280.380;;2178.81;;2189.07;0.00000;0.00000;0.00000;0.00000;0.00000
280.280;;2124.40;;2134.14;0.00000;0.00000;0.00000;0.00000;0.00000
280.180;;2127.54;;2136.85;0.00000;0.00000;0.00000;0.00000;0.00000
280.080;;2134.45;;2143.37;0.00000;0.00000;0.00000;0.00000;0.00000
279.980;;2117.97;;2126.53;0.00000;0.00000;0.00000;0.00000;0.00000
279.880;;2107.14;;2115.35;0.00000;0.00000;0.00000;0.00000;0.00000
279.780;;2079.63;;2087.51;0.00000;0.00000;0.00000;0.00000;0.00000
279.680;;2058.52;;2066.07;0.00000;0.00000;0.00000;0.00000;0.00000
279.580;;2082.71;;2089.95;0.00000;0.00000;0.00000;0.00000;0.00000
279.480;;2110.36;;2117.30;0.00000;0.00000;0.00000;0.00000;0.00000
279.380;;2119.66;;2126.31;0.00000;0.00000;0.00000;0.00000;0.00000
279.280;;2163.76;;2170.12;0.00000;0.00000;0.00000;0.00000;0.00000
279.180;;2139.34;;2145.42;0.00000;0.00000;0.00000;0.00000;0.00000
279.080;;2187.25;;2193.05;0.00000;0.00000;0.00000;0.00000;0.00000
